210.0,4.700000e-18
215.0,3.160000e-18
220.0,1.930000e-18
225.0,1.280000e-18
230.0,9.100000e-19
235.0,7.300000e-19
240.0,6.000000e-19
245.0,5.100000e-19
250.0,4.000000e-19
255.0,3.200000e-19
260.0,-8.918000e-02
265.0,-9.800000e-02
270.0,-1.019200e-01
275.0,-1.097600e-01
280.0,-1.097600e-01
285.0,-1.234800e-01
290.0,-1.323000e-01
295.0,-1.489600e-01
300.0,-1.666000e-01
305.0,-1.901200e-01
310.0,-2.214800e-01
315.0,-2.479400e-01
320.0,-2.881200e-01
325.0,-3.312400e-01
330.0,-3.802400e-01
335.0,-4.008200e-01
340.0,-4.821600e-01
345.0,-5.194000e-01
350.0,-5.713400e-01
355.0,-7.046200e-01
360.0,-7.546000e-01
365.0,-7.849800e-01
370.0,-8.673000e-01
375.0,-7.497000e-01
380.0,-9.721600e-01
385.0,-9.721600e-01
390.0,-9.300200e-01
395.0,-8.281000e-01
400.0,-9.466800e-01
405.0,-9.800000e-01
410.0,-1.136800e+00
