279.0000,1.957087527647e-01
279.5000,1.905509339087e-01
280.0000,1.854976964303e-01
280.5000,1.805485757353e-01
281.0000,1.757030144764e-01
281.5000,1.709603673189e-01
282.0000,1.663199057080e-01
282.5000,1.617808226179e-01
283.0000,1.573422372689e-01
283.5000,1.530031997963e-01
284.0000,1.487626958565e-01
284.5000,1.446196511595e-01
285.0000,1.405729359148e-01
285.5000,1.366213691811e-01
286.0000,1.327637231107e-01
286.5000,1.289987270810e-01
287.0000,1.253250717052e-01
287.5000,1.217414127171e-01
288.0000,1.182463747253e-01
288.5000,1.148385548314e-01
289.0000,1.115165261118e-01
289.5000,1.082788409574e-01
290.0000,1.051240342725e-01
290.5000,1.020506265308e-01
291.0000,9.905712668860e-02
291.5000,9.614203495518e-02
292.0000,9.330384542253e-02
292.5000,9.054104855463e-02
293.0000,8.785213353906e-02
293.5000,8.523559050285e-02
294.0000,8.268991259546e-02
294.5000,8.021359794186e-02
295.0000,7.780515146886e-02
295.5000,7.546308660840e-02
296.0000,7.318592688118e-02
296.5000,7.097220736479e-02
297.0000,6.882047605011e-02
297.5000,6.672929509002e-02
298.0000,6.469724194469e-02
298.5000,6.272291042755e-02
299.0000,6.080491165605e-02
299.5000,5.894187491152e-02
300.0000,5.713244841229e-02
300.5000,5.537530000407e-02
301.0000,5.366911777187e-02
301.5000,5.201261057735e-02
302.0000,5.040450852555e-02
302.5000,4.884356336492e-02
303.0000,4.732854882438e-02
303.5000,4.585826089110e-02
304.0000,4.443151803247e-02
304.5000,4.304716136590e-02
305.0000,4.170405477952e-02
305.5000,4.040108500724e-02
306.0000,3.913716166112e-02
306.5000,3.791121722407e-02
307.0000,3.672220700570e-02
307.5000,3.556910906412e-02
308.0000,3.445092409623e-02
308.5000,3.336667529898e-02
309.0000,3.231540820408e-02
309.5000,3.129619048830e-02
310.0000,3.030811176150e-02
310.5000,2.935028333455e-02
311.0000,2.842183796896e-02
311.5000,2.752192960998e-02
312.0000,2.664973310505e-02
312.5000,2.580444390911e-02
313.0000,2.498527777825e-02
313.5000,2.419147045332e-02
314.0000,2.342227733456e-02
314.5000,2.267697314878e-02
315.0000,2.195485161006e-02
315.5000,2.125522507525e-02
316.0000,2.057742419510e-02
316.5000,1.992079756211e-02
317.0000,1.928471135594e-02
317.5000,1.866854898725e-02
318.0000,1.807171074057e-02
318.5000,1.749361341711e-02
319.0000,1.693368997806e-02
319.5000,1.639138918887e-02
320.0000,1.586617526530e-02
320.5000,1.535752752148e-02
321.0000,1.486494002057e-02
321.5000,1.438792122851e-02
322.0000,1.392599367096e-02
322.5000,1.347869359409e-02
323.0000,1.304557062934e-02
323.5000,1.262618746239e-02
324.0000,1.222011950672e-02
324.5000,1.182695458188e-02
325.0000,1.144629259667e-02
325.5000,1.107774523737e-02
326.0000,1.072093566126e-02
326.5000,1.037549819540e-02
327.0000,1.004107804087e-02
